,id_ccaa,anio,mes,id_energia,porcentaje,valor
293,8,2019,Junio,6,0.0241391733053042,26052.804
294,8,2019,Julio,6,0.020132092703085,23450.273
295,8,2019,Agosto,6,0.0173221385554737,18781.99
296,8,2019,Septiembre,6,0.0177886364946796,26136.091
297,8,2019,Octubre,6,0.0211796216819631,25233.693
298,8,2019,Noviembre,6,0.0094309364435383,21943.085
299,8,2019,Diciembre,6,0.00804556572837,21812.787
300,9,2019,Enero,3,0.3382578107643832,254632.493
301,9,2019,Febrero,3,0.516400448674331,280915.127
302,9,2019,Marzo,3,0.4542854274447874,264679.209
303,9,2019,Abril,3,0.4435587920712124,270286.976
304,9,2019,Mayo,3,0.5547087229270825,438949.715
305,9,2019,Junio,3,0.548484695224018,392444.259
306,9,2019,Julio,3,0.5127857613036476,276233.133
307,9,2019,Agosto,3,0.5214718567618871,240480.068
308,9,2019,Septiembre,3,0.5045932651705295,205774.283
309,9,2019,Octubre,3,0.4625149210476277,213406.628
310,9,2019,Noviembre,3,0.3520949458916032,225881.229
311,9,2019,Diciembre,3,0.5467158882346685,412861.014
312,9,2019,Enero,4,0.5918555152662414,445534.857
313,9,2019,Febrero,4,0.3818361539223752,207713.901
314,9,2019,Marzo,4,0.4293922726097623,250175.771
315,9,2019,Abril,4,0.4580061849270266,279090.639
316,9,2019,Mayo,4,0.3533633972682193,279622.0
317,9,2019,Junio,4,0.3453313931827219,247086.79
318,9,2019,Julio,4,0.3480841323103763,187509.829
319,9,2019,Agosto,4,0.3251752747667245,149956.649
320,9,2019,Septiembre,4,0.338621666551848,138090.687
321,9,2019,Octubre,4,0.4242647986640531,195757.836
322,9,2019,Noviembre,4,0.576402274947452,369782.23
323,9,2019,Diciembre,4,0.4006496363461381,302556.81
324,9,2019,Enero,1,0.0288612692246133,21726.082
325,9,2019,Febrero,1,0.0574110050986191,31230.84
326,9,2019,Marzo,1,0.070157174122338,40875.503
327,9,2019,Abril,1,0.0577507979546444,35191.025
328,9,2019,Mayo,1,0.0577218873122341,45676.235
329,9,2019,Junio,1,0.0648153265930503,46375.775
330,9,2019,Julio,1,0.0847218263191919,45638.895
331,9,2019,Agosto,1,0.0937702261247529,43242.737
332,9,2019,Septiembre,1,0.0893939807761446,36455.069
333,9,2019,Octubre,1,0.0607595519848138,28034.752
334,9,2019,Noviembre,1,0.0340291242164102,21830.874
335,9,2019,Diciembre,1,0.0193091060127023,14581.572
336,9,2019,Enero,5,0.0078040771385087,5874.725
337,9,2019,Febrero,5,0.0019035142646356,1035.487
338,9,2019,Marzo,5,0.0032923399782716,1918.208
339,9,2019,Abril,5,0.0024243469412555,1477.3
340,9,2019,Mayo,5,0.0010663026302428,843.782
341,9,2019,Junio,5,0.0064630625216396,4624.362
342,9,2019,Julio,5,0.0093942574296853,5060.603
343,9,2019,Agosto,5,0.0092795270490994,4279.313
344,9,2019,Septiembre,5,0.0077229754954924,3149.447
345,9,2019,Octubre,5,0.0007710690505625,355.775
346,9,2019,Noviembre,5,0.0002964031608227,190.153
347,9,2019,Diciembre,5,6.234394419737629e-05,47.08
348,9,2019,Enero,6,0.0184876986338205,13917.103
349,9,2019,Febrero,6,0.0228908929288414,12452.348
350,9,2019,Marzo,6,0.0234951039026333,13688.895
351,9,2019,Abril,6,0.0211146521825604,12866.424
352,9,2019,Mayo,6,0.0175179617963558,13862.238
353,9,2019,Junio,6,0.0169475123739562,12126.052
354,9,2019,Julio,6,0.0235976808780254,12711.861
355,9,2019,Agosto,6,0.0235396315213853,10855.451
356,9,2019,Septiembre,6,0.0299485453094992,12213.085
357,9,2019,Octubre,6,0.0278105203837687,12831.909
358,9,2019,Noviembre,6,0.0219166828489483,14060.319
359,9,2019,Diciembre,6,0.0183094126573772,13826.638
360,9,2019,Enero,2,0.0147336289724326,11091.128
361,9,2019,Febrero,2,0.0195579851111973,10639.2895
362,9,2019,Marzo,2,0.0193776819422071,11289.9715
363,9,2019,Abril,2,0.0171452259233004,10447.6145
364,9,2019,Mayo,2,0.0156217280658653,12361.7185
365,9,2019,Junio,2,0.0179580101046139,12849.0695
366,9,2019,Julio,2,0.0214163417590734,11536.793
367,9,2019,Agosto,2,0.0267634837761505,12342.151
368,9,2019,Septiembre,2,0.0297195666964861,12119.707
369,9,2019,Octubre,2,0.023879138869174,11017.9505
370,9,2019,Noviembre,2,0.0152605689347633,9790.189
371,9,2019,Diciembre,2,0.0149536128049164,11292.4535
372,10,2019,Enero,3,0.3806531045392598,40370.228
373,10,2019,Febrero,3,0.4947221863236679,57339.018
374,10,2019,Marzo,3,0.2703270140816708,26311.523
375,10,2019,Abril,3,0.2848002003924823,25020.153
376,10,2019,Mayo,3,0.3630339809047246,22958.569
377,10,2019,Junio,3,0.2407146703037094,16793.131
378,10,2019,Julio,3,0.2602015683780693,20218.794
379,10,2019,Agosto,3,0.2664028507913341,20288.618
380,10,2019,Septiembre,3,0.2082826163085462,15939.702
381,10,2019,Octubre,3,0.2013417414000602,16986.119
382,10,2019,Noviembre,3,0.4370223366541106,56089.018
383,10,2019,Diciembre,3,0.5239725975354251,69993.766
384,10,2019,Enero,4,0.2896432800342949,30718.166
385,10,2019,Febrero,4,0.2349416797840969,27230.081
386,10,2019,Marzo,4,0.3398686560048986,33080.164
387,10,2019,Abril,4,0.3036286567760707,26674.263
388,10,2019,Mayo,4,0.48227209680759,30499.286
389,10,2019,Junio,4,0.2933703535742384,20466.583
390,10,2019,Julio,4,0.2493605795639423,19376.402
391,10,2019,Agosto,4,0.2238951640072034,17051.332
392,10,2019,Septiembre,4,0.3211710040089273,24578.96
393,10,2019,Octubre,4,0.358173223508066,30217.147
394,10,2019,Noviembre,4,0.3069233322203444,39391.644
395,10,2019,Diciembre,4,0.2235284200912729,29859.569
396,10,2019,Enero,1,0.0093708306928246,993.825
397,10,2019,Febrero,1,0.0193630366923326,2244.204
398,10,2019,Marzo,1,0.032415274698404,3155.05
399,10,2019,Abril,1,0.0321185389010392,2821.665
400,10,2019,Mayo,1,0.0536081545360575,3390.224
401,10,2019,Junio,1,0.0537792915399516,3751.839
402,10,2019,Julio,1,0.0454464898625818,3531.39
403,10,2019,Agosto,1,0.0457651266364391,3485.365
404,10,2019,Septiembre,1,0.0383629385907601,2935.885
405,10,2019,Octubre,1,0.0248678659628842,2097.968
406,10,2019,Noviembre,1,0.0091949036911623,1180.107
407,10,2019,Diciembre,1,0.0081670723137228,1090.981
408,10,2019,Enero,6,0.0384206651395966,4074.71
409,10,2019,Febrero,6,0.0128433166217072,1488.559
410,10,2019,Marzo,6,0.0437478963796153,4258.079
411,10,2019,Abril,6,0.0558311977907197,4904.86
412,10,2019,Mayo,6,0.0826783786578121,5228.649
413,10,2019,Junio,6,0.0480933351561549,3355.166
414,10,2019,Julio,6,0.0627738464735391,4877.801
415,10,2019,Agosto,6,0.064290629934131,4896.224
416,10,2019,Septiembre,6,0.0617387611526058,4724.818
417,10,2019,Octubre,6,0.0634060481575703,5349.227
418,10,2019,Noviembre,6,0.0418039948086073,5365.275
419,10,2019,Diciembre,6,0.038484730920786,5140.901
420,10,2019,Enero,2,0.2819121195940239,29898.2365
421,10,2019,Febrero,2,0.2381297805781953,27599.5865
422,10,2019,Marzo,2,0.313641158835411,30527.384
423,10,2019,Abril,2,0.3236214061396879,28430.658
424,10,2019,Mayo,2,0.0184073890938158,1164.0985
425,10,2019,Junio,2,0.3640423494259456,25396.9185
426,10,2019,Julio,2,0.3822175157218674,29699.964
427,10,2019,Agosto,2,0.3996462286308924,30436.122
428,10,2019,Septiembre,2,0.3704446799391604,28349.835
429,10,2019,Octubre,2,0.352211120971419,29714.1565
430,10,2019,Noviembre,2,0.2050554326257752,26317.5515
431,10,2019,Diciembre,2,0.205847179138793,27497.658
432,11,2019,Enero,3,0.5210083441168245,171819.515
433,11,2019,Febrero,3,0.7572128247059633,261289.653
434,11,2019,Marzo,3,0.4935143427058984,141990.993
435,11,2019,Abril,3,0.543648164129291,148493.429
436,11,2019,Mayo,3,0.5566189502320787,119019.553
437,11,2019,Junio,3,0.602066005303132,81570.817
438,11,2019,Julio,3,0.4889945492193644,64653.584
439,11,2019,Agosto,3,0.3407596297392867,36158.663
440,11,2019,Septiembre,3,0.2238715313272099,37947.521
441,11,2019,Octubre,3,0.349336771458878,70126.813
442,11,2019,Noviembre,3,0.6165497929695699,356504.89
443,11,2019,Diciembre,3,0.7276797090621794,426727.744
444,11,2019,Enero,4,0.4123314823819342,135979.771
445,11,2019,Febrero,4,0.1888032252365213,65149.886
446,11,2019,Marzo,4,0.4248822950108983,122244.591
447,11,2019,Abril,4,0.3839620736601612,104876.368
448,11,2019,Mayo,4,0.3446484728845464,73694.773
449,11,2019,Junio,4,0.298382141512053,40426.257
450,11,2019,Julio,4,0.3203232143619956,42352.3
451,11,2019,Agosto,4,0.4192740603453148,44489.981
452,11,2019,Septiembre,4,0.639153602722635,108340.237
453,11,2019,Octubre,4,0.5390022267208716,108200.772
454,11,2019,Noviembre,4,0.349738311321401,202227.654
455,11,2019,Diciembre,4,0.2352719452166436,137968.759
456,11,2019,Enero,1,6.368133581797987e-05,21.001
