,id_ccaa,anio,mes,valor
560,11,2021,Septiembre,725963.978
561,11,2021,Octubre,750755.832
562,11,2021,Noviembre,783627.844
563,11,2021,Diciembre,805235.909
564,13,2021,Enero,2740894.826
565,13,2021,Febrero,2262499.896
566,13,2021,Marzo,2378553.143
567,13,2021,Abril,2130429.496
568,13,2021,Mayo,2107378.281
569,13,2021,Junio,2166515.997
570,13,2021,Julio,2347371.347
571,13,2021,Agosto,2259789.28
572,13,2021,Septiembre,2072075.097
573,13,2021,Octubre,2075335.099
574,13,2021,Noviembre,2386503.737
575,13,2021,Diciembre,2507655.755
576,14,2021,Enero,443553.286
577,14,2021,Febrero,410832.434
578,14,2021,Marzo,437964.061
579,14,2021,Abril,406589.998
580,14,2021,Mayo,426771.793
581,14,2021,Junio,422513.312
582,14,2021,Julio,405159.449
583,14,2021,Agosto,391177.128
584,14,2021,Septiembre,423399.212
585,14,2021,Octubre,414220.512
586,14,2021,Noviembre,437375.677
587,14,2021,Diciembre,421278.98
588,15,2021,Enero,2541784.95
589,15,2021,Febrero,2020604.117
590,15,2021,Marzo,2252014.427
591,15,2021,Abril,2051278.824
592,15,2021,Mayo,2055062.999
593,15,2021,Junio,2166490.181
594,15,2021,Julio,2560090.745
595,15,2021,Agosto,2405188.279
596,15,2021,Septiembre,2264075.528
597,15,2021,Octubre,2082354.219
598,15,2021,Noviembre,2207275.169
599,15,2021,Diciembre,2263430.835
600,16,2021,Enero,487003.673
601,16,2021,Febrero,395298.669
602,16,2021,Marzo,425492.436
603,16,2021,Abril,376617.189
604,16,2021,Mayo,383981.298
605,16,2021,Junio,405586.42
606,16,2021,Julio,423714.488
607,16,2021,Agosto,509621.441
608,16,2021,Septiembre,414550.084
609,16,2021,Octubre,382150.628
610,16,2021,Noviembre,421384.241
611,16,2021,Diciembre,429876.923
612,17,2021,Enero,1694495.593
613,17,2021,Febrero,1484968.544
614,17,2021,Marzo,1564011.296
615,17,2021,Abril,1426069.727
616,17,2021,Mayo,1454054.616
617,17,2021,Junio,1365134.11
618,17,2021,Julio,1369843.94
619,17,2021,Agosto,1377124.299
620,17,2021,Septiembre,1381155.204
621,17,2021,Octubre,1418232.566
622,17,2021,Noviembre,1493168.54
623,17,2021,Diciembre,1521980.401
624,8743,2021,Enero,470923.625
625,8743,2021,Febrero,361715.977
626,8743,2021,Marzo,410107.525
627,8743,2021,Abril,378811.138
628,8743,2021,Mayo,380442.847
629,8743,2021,Junio,459727.74
630,8743,2021,Julio,601270.435
631,8743,2021,Agosto,632604.942
632,8743,2021,Septiembre,544052.918
633,8743,2021,Octubre,444700.654
634,8743,2021,Noviembre,408606.143
635,8743,2021,Diciembre,435319.025
